I[mA],Nb[/cm^3],u[cm^2/Vs],NS[/cm^2]
0.010,-1.965E+18,1.650E+01,-1.965E+14
0.010,-1.988E+18,1.885E+02,-1.988E+14
0.100,-1.997E+18,2.257E+03,-1.997E+14
5.000,-2.032E+18,2.216E+03,-2.032E+14
1.000,-2.003E+18,2.245E+03,-2.003E+14
0.500,-2.001E+18,2.250E+03,-2.001E+14
0.050,-2.002E+18,2.258E+03,-2.002E+14
0.050,-2.003E+18,2.253E+03,-2.003E+14
0.050,-2.002E+18,2.256E+03,-2.002E+14
1.000,-2.004E+18,2.245E+03,-2.004E+14
0.010,-1.965E+18,5.816E+01,-1.965E+14
10.000,-2.056E+18,2.196E+03,-2.056E+14
0.100,-1.993E+18,2.258E+03,-1.993E+14
0.500,-2.001E+18,2.252E+03,-2.001E+14
10.000,-2.056E+18,2.196E+03,-2.056E+14
5.000,-2.031E+18,2.217E+03,-2.031E+14
